@relation i2p

@attribute avg_payload_len numeric
@attribute max_payload_len numeric
@attribute fragment_ratio numeric
@attribute entopy_len numeric
@attribute variance numeric
@attribute seq_exist numeric
@attribute isI2P {yes,no}

@data
592,1448,0,2.409267,525.105704,1,yes
929.52381,1440,0.47619,2.196774,704.505362,1,yes
1086.637168,2904,0.756637,1.699125,764.92992,1,yes
592,1428,0,1.561278,557.629082,1,yes
592,1448,0,2.409267,525.105704,1,yes
594,1448,0,2.409267,526.722175,1,yes
475.428571,768,0,2.306891,400.706548,1,yes
1030.213592,1448,0.737864,1.726231,754.006797,1,yes
742.666667,1056,0.5,2.053796,608.269531,1,yes
1015.707317,1448,0.743902,1.748038,738.677709,1,yes
592,1460,0,2.5,521.513694,1,yes
996.387097,1448,0.709677,1.807959,736.617689,1,yes
594,1448,0,2.245099,534.61575,1,yes
590,1448,0,2.409267,523.515282,1,yes
600,1448,0,2.324409,535.98244,1,yes
918.518519,1448,0.62963,1.979349,703.888325,1,yes
1010.206897,1448,0.706897,1.860678,742.215719,1,yes
592,1448,0,2.409267,525.105704,1,yes
592,1428,0,2.5,518.461313,1,yes
686.4,1448,0.2,2.484996,582.561626,1,yes
1025.116279,1448,0.616279,1.922328,751.403583,1,yes
807.466667,1056,0.6,1.936994,643.710334,1,yes
592,1440,0,2.070951,535.638527,1,yes
1041.428571,2896,0.678571,2.044847,747.914315,1,yes
1065.207101,2144,0.79142,1.57907,768.176154,1,yes
966.896552,1448,0.62069,2.091929,733.492013,1,yes
684.8,1448,0,2.389758,594.27498,1,yes
997.090909,1448,0.795455,1.651756,739.054943,1,yes
986.786517,1448,0.719101,1.861334,734.36827,1,yes
955.675676,1448,0.702703,1.876984,718.816181,1,yes
480,800,0,2.216917,410.922864,1,yes
592,1448,0,2.245099,532.953198,1,yes
834.666667,1448,0.416667,2.203801,692.008581,1,yes
870.4,1448,0.6,2.03215,680.11463,1,yes
1025.818182,1448,0.602273,1.945871,764.808764,1,yes
1005.837838,1448,0.702703,1.835856,743.191064,1,yes
951.314286,1448,0.714286,1.840268,719.45524,1,yes
590,1448,0,2.245099,531.313467,1,yes
1051.19171,2896,0.865285,1.530088,766.812502,1,yes
1021.651376,1452,0.926606,1.299324,733.176813,1,yes
1018.505051,1400,0.858586,1.503768,730.670275,1,yes
588,1448,0,1.765605,548.296944,1,yes
1016.965517,1448,0.862069,1.502875,715.557534,1,yes
588,1460,0,2.5,518.428394,1,yes
588,1448,0,2.245099,529.696769,1,yes
761.090909,1460,0,1.991374,682.16074,1,yes
588,1448,0,2.324409,526.065977,1,yes
588,1448,0,2.324409,526.065977,1,yes
592,1460,0,2.5,521.513694,1,yes
1051.624665,1440,0.873995,1.411568,751.564034,1,yes
1042.319703,1414,0.947955,1.224696,741.608822,1,yes
1000.119403,1440,0.880597,1.428,724.409555,1,yes
602,1452,0,2.5,528.93856,1,yes
1020,1460,0.807692,1.593886,742.180829,1,yes
594,1448,0,2.409267,526.722175,1,yes
602,1460,0,2.5,529.712375,1,yes
1012,1448,0.880952,1.43462,732.584791,1,yes
590,1448,0,2.409267,523.515282,1,yes
588,1402,0,2.324409,522.421962,1,yes
1050.285714,1448,0.801587,1.590889,745.252508,1,yes
592,1448,0,2.409267,525.105704,1,yes
594,1448,0,2.409267,526.722175,1,yes
596,1408,0,2.324409,529.425882,1,yes
590,1448,0,2.170951,534.562881,1,yes
592,1448,0,2.170951,536.223049,1,yes
477.714286,784,0,2.306891,403.106769,1,yes
592,1440,0,2.213298,528.612835,1,yes
594,1460,0,2.5,523.098461,1,yes
600,1448,0,2.324409,535.98244,1,yes
592,1448,0,2.409267,525.105704,1,yes
1018.226804,1448,0.896907,1.396126,736.468871,1,yes
592,1448,0,2.409267,525.105704,1,yes
1010.146341,1448,0.902439,1.372303,732.593265,1,yes
1029.028571,1448,0.842857,1.50456,743.788378,1,yes
596,1460,0,1.461227,565.657556,1,yes
1045.484419,1386,0.875354,1.40966,745.348079,1,yes
1024.688742,1448,0.788079,1.679775,731.670897,1,yes
1063.246106,2804,0.615576,1.884229,736.559797,1,yes
590,1448,0,2.324409,527.658089,1,yes
962.871795,1448,0.692308,1.898541,718.809433,1,yes
956.878049,1352,0.731707,1.824629,708.86484,1,yes
594,1448,0,2.409267,526.722175,1,yes
930.666667,1448,0.6,2.009544,711.422045,1,yes
1006.461538,1448,0.615385,2.045252,745.569681,1,yes
1027.572816,1448,0.553398,1.963514,758.482586,1,yes
620.8,1440,0,2.258573,525.368473,1,yes
1061.085271,1448,0.812016,1.548371,754.73848,1,yes
984.923077,1448,0.692308,1.847058,735.178456,1,yes
859.789474,1448,0.578947,2.093292,669.696041,1,yes
926.285714,1448,0.642857,2.00938,702.783309,1,yes
592,1448,0,2.409267,525.105704,1,yes
588,1402,0,2.409267,518.047778,1,yes
594,1460,0,2.5,523.098461,1,yes
588,1448,0,1.813569,546.648845,1,yes
584,1448,0,2.170951,530.755172,1,yes
960.864865,1460,0.72973,1.808876,724.083667,1,yes
626,1460,0,2.409267,556.961623,1,yes
1065.333333,1448,0.755952,1.693019,768.117952,1,yes
602,1448,0,2.409267,533.443765,1,yes
592,1448,0,2.324409,529.274754,1,yes
1059.376884,2144,0.819095,1.561337,771.701074,1,yes
965.2,1448,0.8,1.652694,714.200209,1,yes
950.4,1448,0.714286,1.777453,729.651834,1,yes
592,1448,0,2.409267,525.105704,1,yes
592,1448,0,2.245099,532.953198,1,yes
590,1448,0,2.409267,523.515282,1,yes
592,1448,0,2.324409,529.274754,1,yes
600,1448,0,2.409267,531.725493,1,yes
592,1412,0,2.5,517.027401,1,yes
596,1460,0,1.461227,565.657556,1,yes
592,1460,0,2.409267,526.195781,1,yes
588,1402,0,2.324409,522.421962,1,yes
1051.837398,1448,0.634146,1.895116,774.416439,1,yes
592,1448,0,2.409267,525.105704,1,yes
590,1448,0,2.324409,527.658089,1,yes
955.675676,1412,0.783784,1.700923,705.639747,1,yes
932.756757,1448,0.594595,2.091704,708.432178,1,yes
598,1448,0,2.245099,538.008468,1,yes
1016.470588,1448,0.588235,2.076999,743.597568,1,yes
991.157895,1448,0.701754,1.856104,737.425392,1,yes
590,1448,0,2.409267,523.515282,1,yes
592,1448,0,2.409267,525.105704,1,yes
650,1448,0,2.213298,554.124216,1,yes
933.333333,1448,0.666667,1.946136,700.42544,1,yes
1008.64,1448,0.64,1.957187,749.192276,1,yes
592,1414,0,2.324409,526.554617,1,yes
974.608696,1452,0.782609,1.717028,716.432186,1,yes
982.588235,1400,0.72549,1.805397,727.660324,1,yes
1081.846154,2896,0.807692,1.579497,785.014361,1,yes
592,1412,0,2.101569,536.753202,1,yes
594,1448,0,2.409267,526.722175,1,yes
944,1448,0.647059,1.919225,719.386405,1,yes
592,1448,0,2.409267,525.105704,1,yes
